"name","month","opened","responses","activities"
"dev39","2013-03",0,8,8
"dev2","2014-03",0,13,13
"dev39","2013-07",0,4,4
"dev54","2012-10",0,4,4
"dev39","2013-08",0,1,1
"dev91","2015-01",1,2,3
"dev91","2015-02",2,1,3
"dev39","2013-04",0,2,2
"dev2","2013-06",0,2,2
"dev39","2013-09",0,1,1
"dev2","2014-05",0,6,6
"dev2","2015-04",0,4,4
"dev2","2014-11",0,3,3
"dev2","2015-02",0,3,3
"dev38","2011-08",1,0,1
"dev38","2011-12",0,1,1
"dev38","2011-09",0,2,2
"dev38","2011-11",0,1,1
"dev37","2002-04",0,1,1
"dev38","2011-07",0,2,2
"dev91","2011-07",0,2,2
"dev91","2011-08",0,2,2
"dev91","2011-10",0,1,1
"dev38","2012-02",0,1,1
"dev85","2002-08",0,44,44
"dev85","2002-05",0,5,5
"dev85","2002-06",0,14,14
"dev85","2002-07",0,12,12
