"name","month","dnoc","bugfixes"
"dev9","2006-11",14,8
"dev49","2006-11",14,2
"dev80","2006-11",1,0
"dev78","2006-12",13,2
"dev79","2006-12",9,1
"dev80","2006-12",19,1
"dev77","2006-12",53,4
"dev1","2006-12",8,0
"dev9","2006-12",5,0
"dev10","2006-12",7,1
"dev11","2006-12",2,1
"dev78","2007-10",12,0
"dev9","2007-10",2,4
"dev49","2006-12",3,0
"dev77","2007-01",7,1
"dev79","2007-01",3,1
"dev10","2007-01",2,0
"dev80","2007-01",2,0
"dev11","2007-01",6,3
"dev78","2007-01",11,0
"dev1","2007-01",6,0
"dev9","2007-01",7,2
"dev49","2007-01",6,1
"dev1","2007-02",2,0
"dev80","2007-02",5,0
"dev49","2007-02",3,0
"dev77","2007-02",1,0
"dev11","2007-02",1,0
"dev78","2007-02",2,0
"dev10","2007-02",4,0
"dev78","2007-03",12,3
"dev9","2007-03",12,1
"dev49","2007-03",2,0
"dev80","2007-03",9,0
"dev11","2007-03",9,1
"dev10","2007-03",4,0
"dev49","2007-04",15,1
"dev9","2007-04",3,1
"dev11","2007-04",15,7
"dev78","2007-04",6,1
"dev77","2007-04",1,0
"dev1","2007-04",1,0
"dev80","2007-04",2,1
"dev11","2007-05",8,2
"dev78","2007-05",7,3
"dev1","2007-05",3,0
"dev77","2007-05",7,1
"dev80","2007-05",32,0
"dev9","2007-05",30,5
"dev80","2007-06",4,0
"dev77","2007-06",8,2
"dev78","2007-06",5,0
"dev11","2007-06",1,0
"dev9","2007-06",27,2
"dev49","2007-06",2,0
"dev9","2007-07",44,5
"dev11","2007-07",1,0
"dev78","2007-07",9,1
"dev77","2007-07",17,2
"dev77","2007-08",86,6
"dev49","2007-08",2,0
"dev9","2007-08",6,0
"dev49","2007-09",16,0
"dev77","2007-09",64,5
"dev1","2007-09",1,1
"dev79","2007-10",8,3
"dev77","2007-10",9,2
"dev80","2007-10",8,5
"dev1","2007-10",7,0
"dev9","2007-11",9,2
"dev1","2007-11",10,0
"dev80","2007-11",26,4
"dev78","2007-11",6,3
"dev1","2007-12",4,0
"dev78","2007-12",4,2
"dev49","2008-01",3,0
"dev1","2008-01",3,0
"dev80","2008-01",0,1
"dev80","2008-02",1,2
"dev1","2008-02",4,1
"dev80","2008-03",7,1
"dev1","2008-03",14,4
"dev79","2008-03",0,2
"dev1","2008-04",10,3
"dev80","2008-04",1,0
"dev80","2008-06",9,0
"dev1","2009-01",16,5
"dev79","2008-07",2,1
"dev77","2009-03",1,0
"dev78","2007-08",6,1
"dev1","2007-08",1,0
"dev78","2007-09",13,0
"dev75","2007-09",2,0
"dev9","2007-09",1,0
"dev80","2007-09",2,1
"dev11","2007-09",2,2
"dev49","2007-10",1,0
"dev11","2007-10",4,3
"dev11","2007-11",9,4
"dev77","2007-11",3,0
"dev79","2007-12",1,0
"dev11","2008-01",5,1
"dev78","2008-01",2,0
"dev9","2008-01",1,0
"dev77","2008-01",1,0
"dev78","2008-02",5,0
"dev9","2008-02",2,0
"dev11","2008-02",0,1
"dev77","2008-03",10,3
"dev77","2008-04",3,0
"dev1","2008-05",1,0
"dev78","2008-05",2,0
"dev80","2008-05",1,0
"dev1","2008-06",18,4
"dev9","2008-06",23,2
"dev11","2008-06",2,0
"dev1","2008-07",50,8
"dev9","2008-07",29,0
"dev50","2008-07",1,0
"dev80","2008-07",1,0
"dev79","2008-08",2,0
"dev9","2008-08",3,0
"dev1","2008-08",62,4
"dev80","2008-08",0,2
"dev1","2008-09",77,6
"dev78","2008-09",14,0
"dev1","2008-10",53,5
"dev78","2008-10",5,0
"dev9","2008-10",9,0
"dev79","2008-10",1,0
"dev11","2008-11",1,4
"dev1","2008-11",63,3
"dev78","2008-11",4,1
"dev9","2008-11",2,0
"dev1","2008-12",39,5
"dev78","2008-12",1,0
"dev9","2009-01",7,0
"dev78","2009-01",5,0
"dev79","2009-01",1,0
"dev49","2009-01",2,2
"dev49","2009-02",10,0
"dev1","2009-02",23,7
"dev78","2009-02",3,0
"dev79","2009-02",1,0
"dev11","2009-02",0,1
"dev1","2009-03",9,0
"dev78","2009-03",1,0
"dev11","2009-03",0,1
"dev9","2009-03",1,0
