"commentAuthor","month","nocomm"
"dev26","2009-01",1
"dev26","2007-08",1
"dev26","2009-04",1
"dev61","2008-06",1
"dev61","2008-05",9
"dev22","2007-10",1
"dev20","2008-05",22
"dev62","2007-01",2
"dev30","2005-04",103
"dev33","2009-06",3
"dev33","2009-07",5
"dev29","2007-11",1
"dev59","2009-06",3
"dev31","2005-07",15
"dev4","2005-07",37
"dev4","2007-09",21
"dev4","2004-09",96
"dev31","2008-10",1
"dev28","2008-03",25
"dev28","2008-01",3
"dev31","2008-01",3
"dev31","2005-08",44
"dev28","2006-06",7
"dev30","2007-06",2
"dev4","2004-06",51
"dev25","2004-03",45
"dev32","2004-08",34
"dev61","2004-11",11
"dev4","2004-11",67
"dev60","2008-05",2
"dev4","2004-02",29
"dev4","2004-03",38
"dev32","2004-05",23
"dev4","2004-07",48
"dev28","2008-05",1
"dev62","2007-10",6
"dev59","2008-04",4
"dev22","2006-02",1
"dev4","2005-11",92
"dev31","2005-11",55
"dev31","2008-04",1
"dev28","2008-04",2
"dev64","2008-03",3
"dev61","2008-03",1
"dev31","2007-02",1
"dev31","2008-02",1
"dev28","2008-02",1
"dev20","2005-07",36
"dev31","2004-10",7
"dev32","2004-03",3
"dev32","2004-09",15
"dev28","2007-12",3
"dev62","2007-12",2
"dev23","2007-12",1
"dev22","2007-11",3
"dev32","2004-12",25
"dev31","2007-08",2
"dev58","2005-08",6
"dev32","2004-11",12
"dev25","2004-10",34
"dev62","2007-09",2
"dev31","2007-09",1
"dev23","2007-02",5
"dev25","2004-02",40
"dev22","2007-07",4
"dev31","2006-02",11
"dev20","2005-04",40
"dev28","2007-04",1
"dev30","2007-07",1
"dev4","2004-05",34
"dev31","2004-12",5
"dev23","2006-08",21
"dev30","2007-05",2
"dev31","2007-04",3
"dev62","2005-10",4
"dev62","2006-06",8
"dev62","2007-04",1
"dev23","2007-04",2
"dev32","2004-06",14
"dev30","2007-04",1
"dev65","2006-05",3
"dev20","2007-03",1
"dev64","2007-02",4
"dev59","2006-07",1
"dev62","2006-05",5
"dev4","2005-04",58
"dev22","2005-02",7
"dev22","2005-03",2
"dev22","2005-06",1
"dev22","2005-09",2
"dev22","2006-07",2
"dev25","2004-12",15
"dev20","2005-03",24
"dev62","2006-04",11
"dev4","2003-11",3
"dev25","2003-12",2
"dev4","2004-01",5
"dev25","2004-01",1
"dev32","2004-02",15
"dev66","2004-02",16
"dev32","2004-04",2
"dev25","2004-07",22
"dev32","2005-01",105
"dev66","2004-03",7
"dev4","2004-04",20
"dev66","2004-05",7
"dev31","2004-03",1
"dev4","2004-08",53
"dev20","2004-08",2
"dev25","2004-08",18
"dev66","2004-04",13
"dev32","2004-10",5
"dev31","2004-04",1
"dev25","2004-05",7
"dev20","2005-05",25
"dev32","2004-07",1
"dev31","2004-09",2
"dev61","2005-01",2
"dev30","2005-02",23
"dev66","2005-09",1
"dev31","2005-02",8
"dev31","2004-11",3
"dev20","2004-10",2
"dev32","2005-02",23
"dev31","2005-01",8
"dev62","2005-04",1
"dev61","2004-12",2
"dev32","2005-03",3
"dev29","2005-02",2
"dev58","2005-02",8
"dev22","2005-04",1
"dev58","2005-06",2
"dev66","2005-02",1
"dev29","2005-03",7
"dev32","2005-05",1
"dev58","2005-04",1
"dev62","2005-05",1
"dev62","2005-07",1
"dev62","2005-08",3
"dev29","2006-04",1
"dev29","2006-05",1
"dev66","2006-04",1
"dev25","2006-05",1
"dev63","2005-11",5
"dev63","2005-12",7
"dev63","2006-01",1
"dev63","2005-10",5
"dev31","2004-02",2
"dev31","2009-10",1
"dev60","2009-04",1
"dev58","2009-09",1
"dev23","2009-05",1
"dev61","2008-09",2
"dev60","2008-11",2
"dev61","2008-08",2
"dev59","2008-12",4
"dev28","2008-06",1
"dev62","2008-02",2
"dev61","2007-11",1
"dev64","2008-10",6
"dev22","2008-10",1
"dev22","2008-09",3
"dev22","2007-04",3
"dev28","2008-09",1
"dev21","2008-08",1
"dev23","2008-08",3
"dev62","2006-02",1
"dev23","2008-07",5
